Package                                                            Current          Wanted          Latest  Location                                                                              Depended by
@babel/compat-data                                                  7.25.4          7.29.0          7.29.0  node_modules/@babel/compat-data                                                       @babel/helper-compilation-targets
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @babel/helper-module-transforms
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/babel-plugin-add-jsx-attribute
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/babel-plugin-remove-jsx-attribute
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/babel-plugin-remove-jsx-empty-expression
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/babel-plugin-replace-jsx-attribute-value
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/babel-plugin-svg-dynamic-title
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/babel-plugin-svg-em-dimensions
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/babel-plugin-transform-react-native-svg
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/babel-plugin-transform-svg-component
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/babel-preset
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/core
@babel/core                                                         7.25.2          7.29.0          7.29.0  node_modules/@babel/core                                                              @svgr/plugin-jsx
@babel/generator                                                    7.25.6          7.29.1          7.29.1  node_modules/@babel/generator                                                         @babel/core
@babel/generator                                                    7.25.6          7.29.1          7.29.1  node_modules/@babel/generator                                                         @babel/traverse
@babel/helper-compilation-targets                                   7.25.2          7.28.6          7.28.6  node_modules/@babel/helper-compilation-targets                                        @babel/core
@babel/helper-module-imports                                        7.24.7          7.28.6          7.28.6  node_modules/@babel/helper-module-imports                                             @babel/helper-module-transforms
@babel/helper-module-imports                                        7.24.7          7.28.6          7.28.6  node_modules/@babel/helper-module-imports                                             @emotion/babel-plugin
@babel/helper-module-transforms                                     7.25.2          7.28.6          7.28.6  node_modules/@babel/helper-module-transforms                                          @babel/core
@babel/helper-simple-access                                         7.24.7          7.27.1          7.27.1  node_modules/@babel/helper-simple-access                                              @babel/helper-module-transforms
@babel/helper-validator-option                                      7.24.8          7.27.1          7.27.1  node_modules/@babel/helper-validator-option                                           @babel/helper-compilation-targets
@babel/traverse                                                     7.25.6          7.29.0          7.29.0  node_modules/@babel/traverse                                                          @babel/core
@babel/traverse                                                     7.25.6          7.29.0          7.29.0  node_modules/@babel/traverse                                                          @babel/helper-module-imports
@babel/traverse                                                     7.25.6          7.29.0          7.29.0  node_modules/@babel/traverse                                                          @babel/helper-module-transforms
@babel/traverse                                                     7.25.6          7.29.0          7.29.0  node_modules/@babel/traverse                                                          @babel/helper-simple-access
@emotion/react                                                     11.13.3         11.14.0         11.14.0  node_modules/@emotion/react                                                           @emotion/styled
@emotion/react                                                     11.13.3         11.14.0         11.14.0  node_modules/@emotion/react                                                           @mui/material
@emotion/react                                                     11.13.3         11.14.0         11.14.0  node_modules/@emotion/react                                                           @mui/styled-engine
@emotion/react                                                     11.13.3         11.14.0         11.14.0  node_modules/@emotion/react                                                           @mui/system
@emotion/react                                                     11.13.3         11.14.0         11.14.0  node_modules/@emotion/react                                                           react-pro-sidebar
@emotion/react                                                     11.13.3         11.14.0         11.14.0  node_modules/@emotion/react                                                           web
@emotion/styled                                                    11.13.0         11.14.1         11.14.1  node_modules/@emotion/styled                                                          @mui/material
@emotion/styled                                                    11.13.0         11.14.1         11.14.1  node_modules/@emotion/styled                                                          @mui/styled-engine
@emotion/styled                                                    11.13.0         11.14.1         11.14.1  node_modules/@emotion/styled                                                          @mui/system
@emotion/styled                                                    11.13.0         11.14.1         11.14.1  node_modules/@emotion/styled                                                          react-pro-sidebar
@emotion/styled                                                    11.13.0         11.14.1         11.14.1  node_modules/@emotion/styled                                                          web
@emotion/use-insertion-effect-with-fallbacks                         1.1.0           1.2.0           1.2.0  node_modules/@emotion/use-insertion-effect-with-fallbacks                             @emotion/react
@emotion/use-insertion-effect-with-fallbacks                         1.1.0           1.2.0           1.2.0  node_modules/@emotion/use-insertion-effect-with-fallbacks                             @emotion/styled
@esbuild/aix-ppc64                                                 MISSING          0.21.5          0.28.0  -                                                                                     esbuild
@esbuild/android-arm                                               MISSING          0.21.5          0.28.0  -                                                                                     esbuild
@esbuild/android-arm64                                             MISSING          0.21.5          0.28.0  -                                                                                     esbuild
@esbuild/android-x64                                               MISSING          0.21.5          0.28.0  -                                                                                     esbuild
@esbuild/darwin-arm64                                              MISSING          0.21.5          0.28.0  -                                                                                     esbuild
@esbuild/darwin-x64                                                MISSING          0.21.5          0.28.0  -                                                                                     esbuild
@esbuild/freebsd-arm64                                             MISSING          0.21.5          0.28.0  -                                                                                     esbuild
